,Index,Cluster
0,VXUS,1
1,BND,6
2,QQQ,6
3,BNDX,4
4,VTIP,1
5,VCIT,0
6,TLT,0
7,VCSH,0
8,VGIT,2
9,MBB,0
10,IEF,0
11,IUSB,2
12,VONG,0
13,VGSH,3
14,SHY,3
15,IGSB,8
16,SHV,8
17,TQQQ,3
18,SMH,2
19,ACWI,2
20,IEI,5
21,IGIB,5
22,VCLT,2
23,VGLT,2
24,PFF,6
25,EMB,1
26,RDVY,4
27,USIG,0
28,SOXX,9
29,SCZ,2
30,QYLD,2
31,CIBR,0
32,SDVY,0
33,FTSM,0
34,MCHI,6
35,IBB,8
36,ACWX,3
37,PDBC,8
38,KBWB,2
39,ANGL,3
40,BSCR,7
41,SQQQ,5
42,FALN,5
43,ICLN,3
