epoch,loss,val_loss
0,1.1771087646484375,NA
1,1.0536556243896484,NA
2,0.9999487996101379,NA
3,0.9997403621673584,NA
4,0.9995140433311462,NA
5,0.9995238780975342,NA
6,0.9994425773620605,NA
7,0.9993853569030762,NA
8,0.9993736743927002,NA
9,0.9997555017471313,NA
10,0.999823272228241,NA
11,0.9993398189544678,NA
12,0.9995124340057373,NA
13,0.9990740418434143,NA
14,0.9988885521888733,NA
15,0.9989042282104492,NA
16,0.9989679455757141,NA
17,0.9986749291419983,NA
18,0.9984210729598999,NA
19,0.9974856376647949,NA
20,0.9964764714241028,NA
21,0.9958043098449707,NA
22,0.9952796101570129,NA
23,0.9936761856079102,NA
24,0.9918459057807922,NA
25,0.9847127795219421,NA
26,0.9693868160247803,NA
27,0.9667788147926331,NA
28,0.9686523675918579,NA
29,0.9612271785736084,NA
30,0.957587718963623,NA
31,0.9520172476768494,NA
32,0.916680634021759,NA
33,0.977479875087738,NA
34,0.9693743586540222,NA
35,0.9685701727867126,NA
36,0.9698279500007629,NA
37,0.9692558646202087,NA
38,0.9700754284858704,NA
39,0.9665365219116211,NA
40,0.9641996026039124,NA
41,0.965140700340271,NA
42,0.9651055932044983,NA
43,0.9647709727287292,NA
44,0.9644745588302612,NA
45,0.9630658626556396,NA
46,0.9628795981407166,NA
47,0.9630117416381836,NA
48,0.9624007940292358,NA
49,0.9628140330314636,NA
50,0.9625638127326965,NA
51,0.9627202153205872,NA
52,0.9612716436386108,NA
53,0.9619759321212769,NA
54,0.964130699634552,NA
55,0.9661687016487122,NA
56,0.9620866775512695,NA
57,0.9616124033927917,NA
58,0.9604517817497253,NA
59,0.9602451920509338,NA
60,0.9599156975746155,NA
61,0.959618866443634,NA
62,0.9594041705131531,NA
63,0.9590503573417664,NA
64,0.9593271017074585,NA
65,0.9590662717819214,NA
66,0.9589691758155823,NA
67,0.9588449001312256,NA
68,0.9586190581321716,NA
69,0.9581905603408813,NA
70,0.95802903175354,NA
71,0.9577427506446838,NA
72,0.9582610130310059,NA
73,0.9578644037246704,NA
74,0.9576352834701538,NA
75,0.9579452276229858,NA
76,0.9575352072715759,NA
77,0.9573188424110413,NA
78,0.9571217894554138,NA
79,0.9579420685768127,NA
80,0.9588871002197266,NA
81,0.9575122594833374,NA
82,0.957029402256012,NA
83,0.95662522315979,NA
84,0.9564929604530334,NA
85,0.9563015699386597,NA
86,0.9561675190925598,NA
87,0.9561330676078796,NA
88,0.9560679793357849,NA
89,0.9562366604804993,NA
90,0.9560863971710205,NA
91,0.9562745094299316,NA
92,0.9563625454902649,NA
93,0.9566716551780701,NA
94,0.955898106098175,NA
95,0.9557190537452698,NA
96,0.955034077167511,NA
97,0.9551935791969299,NA
98,0.9564510583877563,NA
99,0.9556914567947388,NA
100,0.9559495449066162,NA
101,0.956301748752594,NA
102,0.9622334837913513,NA
103,0.9664421081542969,NA
104,0.9682827591896057,NA
105,0.9628757238388062,NA
106,0.9617804884910583,NA
107,0.9581727981567383,NA
108,0.9596434235572815,NA
109,0.9585638642311096,NA
110,0.9559099674224854,NA
111,0.9539240598678589,NA
112,0.9527556896209717,NA
113,0.9523932337760925,NA
114,0.9516839981079102,NA
115,0.9511263370513916,NA
116,0.9505876898765564,NA
117,0.9498729109764099,NA
118,0.9495298862457275,NA
119,0.9492145776748657,NA
120,0.9485690593719482,NA
121,0.9485425353050232,NA
122,0.9477971196174622,NA
123,0.9471400380134583,NA
124,0.9521133899688721,NA
125,0.9580205082893372,NA
126,0.9580907821655273,NA
127,0.953640878200531,NA
128,0.949748158454895,NA
129,0.9462004899978638,NA
130,0.9444393515586853,NA
131,0.9444136619567871,NA
132,0.9425285458564758,NA
